TeamId,TeamName,SubmissionDate,Score
103088,smoke,"2014-06-24 18:38:00",0.99868
102881,Abhishek,"2014-06-24 19:36:50",0.54287
102935,deceptimons,"2014-06-24 19:53:05",0.48059
102973,Dataminer,"2014-06-24 20:03:48",0.99868
102935,deceptimons,"2014-06-24 20:29:01",0.47645
102914,"Matthew Sharpe","2014-06-24 20:30:37",0.57659
103109,Gautam,"2014-06-24 21:19:30",0.99868
103027,"Piotr Kuchta","2014-06-24 21:48:13",0.69337
102935,deceptimons,"2014-06-24 21:51:11",0.47467
102965,Dollars4Donuts,"2014-06-24 22:19:42",0.57536
102935,deceptimons,"2014-06-24 22:46:08",0.46789
103006,"Michael Jahrer","2014-06-24 23:07:03",0.50044
103114,ephes,"2014-06-25 00:03:04",0.54359
103127,Matt,"2014-06-25 00:36:33",0.99868
103130,geringer,"2014-06-25 00:56:05",0.68607
102888,"Mania Yang","2014-06-25 03:11:09",0.99868
102914,"Matthew Sharpe","2014-06-25 06:10:12",0.57045
103171,"Maarten Bosma","2014-06-25 06:40:27",0.54208
103187,"Shubham Goel","2014-06-25 07:23:44",0.99868
103127,Matt,"2014-06-25 07:30:07",0.51336
103202,"Zero One","2014-06-25 08:48:14",0.99868
103006,"Michael Jahrer","2014-06-25 13:13:09",0.49460
103239,"Click here to win a million dollars","2014-06-25 14:03:51",0.57659
103247,epiconvergence,"2014-06-25 14:53:46",0.65328
103239,"Click here to win a million dollars","2014-06-25 15:57:38",0.50770
103127,Matt,"2014-06-25 18:39:15",0.50885
102965,Dollars4Donuts,"2014-06-25 21:21:29",0.57035
103247,epiconvergence,"2014-06-25 21:37:01",0.56845
102935,deceptimons,"2014-06-25 23:06:11",0.46779
102935,deceptimons,"2014-06-25 23:23:42",0.46485
103065,Silogram,"2014-06-26 05:18:15",0.49089
103350,TiDom,"2014-06-26 07:46:04",0.49320
103352,Francis,"2014-06-26 09:03:05",0.70600
103006,"Michael Jahrer","2014-06-26 15:50:02",0.48949
102914,"Matthew Sharpe","2014-06-26 17:20:44",0.54562
102965,Dollars4Donuts,"2014-06-26 18:08:31",0.52157
102965,Dollars4Donuts,"2014-06-26 18:27:39",0.52136
102914,"Matthew Sharpe","2014-06-26 19:51:26",0.54491
103114,ephes,"2014-06-26 19:58:25",0.48903
103127,Matt,"2014-06-26 20:14:36",0.50326
103114,ephes,"2014-06-26 22:00:55",0.48774
103239,"Click here to win a million dollars","2014-06-26 23:14:54",0.50047
103247,epiconvergence,"2014-06-27 01:13:48",0.53339
103469,fuzzy,"2014-06-27 01:19:33",0.51851
103006,"Michael Jahrer","2014-06-27 01:31:13",0.48674
103507,dizz,"2014-06-27 06:54:11",0.55862
103027,"Piotr Kuchta","2014-06-27 09:39:12",0.48059
103540,valera,"2014-06-27 10:39:44",0.48059
103247,epiconvergence,"2014-06-27 12:41:05",0.53297
103576,TechnoJunkie,"2014-06-27 13:42:17",0.48058
103578,A^3,"2014-06-27 14:00:07",0.63979
103105,Mathn,"2014-06-27 14:28:54",0.69315
103590,Skander,"2014-06-27 14:49:18",0.57692
103105,Mathn,"2014-06-27 15:32:50",0.48059
103130,geringer,"2014-06-27 15:42:27",0.48060
103239,"Click here to win a million dollars","2014-06-27 16:06:44",0.48693
103469,fuzzy,"2014-06-27 17:02:47",0.50766
103130,geringer,"2014-06-27 17:48:20",0.47925
103621,"Vitor Campos de Oliveira","2014-06-27 20:22:01",0.48006
103006,"Michael Jahrer","2014-06-27 20:38:45",0.48255
103006,"Michael Jahrer","2014-06-27 20:45:00",0.48243
103627,"T. Henry","2014-06-27 21:02:53",5.63718
